,precision,recall,f1-score,support
Account Takeover,0.0,0.0,0.0,2751.0
Card Cloning,0.0,0.0,0.0,2751.0
Friendly Fraud,0.14963503649635038,0.029807342784442022,0.049712033949681725,2751.0
Identity Theft,0.1567291311754685,0.10032715376226826,0.12234042553191489,2751.0
Legitimate,0.18466219378998283,0.8604143947655398,0.3040657717258655,2751.0
Phishing,0.157644824311491,0.12068338785896038,0.13670990323244803,2751.0
Synthetic Identity,0.16304347826086957,0.11995637949836423,0.1382198952879581,2751.0
accuracy,0.17588409409565353,0.17588409409565353,0.17588409409565353,0.17588409409565353
macro avg,0.11595923771916603,0.1758840940956535,0.10729257567540974,19257.0
weighted avg,0.11595923771916605,0.17588409409565353,0.10729257567540976,19257.0
