,precision,recall,f1-score,support
Account Takeover,0.15293152931529316,0.1355870592511814,0.14373795761078997,2751.0
Card Cloning,0.159060221442074,0.21410396219556524,0.1825224666873257,2751.0
Friendly Fraud,0.1419939577039275,0.1025081788440567,0.11906269791006967,2751.0
Identity Theft,0.1577967994045404,0.15412577244638315,0.1559396837072453,2751.0
Legitimate,0.26789366053169733,0.5714285714285714,0.3647754959972154,2751.0
Phishing,0.1493411420204978,0.07415485278080698,0.09910128734515423,2751.0
Synthetic Identity,0.1490066225165563,0.06543075245365322,0.09093205354887599,2751.0
accuracy,0.18819130705717402,0.18819130705717402,0.18819130705717402,0.18819130705717402
macro avg,0.1682891332763695,0.188191307057174,0.16515309182952517,19257.0
weighted avg,0.16828913327636952,0.18819130705717402,0.16515309182952517,19257.0
