,precision,recall,f1-score,support
Account Takeover,0.15304606240713226,0.14976372228280624,0.1513871027007165,2751.0
Card Cloning,0.15593101020767336,0.16103235187204654,0.1584406294706724,2751.0
Friendly Fraud,0.15948434622467772,0.1573973100690658,0.1584339553604098,2751.0
Identity Theft,0.1522239263803681,0.14431115957833515,0.14816197051688748,2751.0
Legitimate,0.32767203513909227,0.40676117775354415,0.3629581576386636,2751.0
Phishing,0.16041918581217252,0.14467466375863322,0.15214067278287463,2751.0
Synthetic Identity,0.1536926147704591,0.13994910941475827,0.1464992389649924,2751.0
accuracy,0.18626992781845564,0.18626992781845564,0.18626992781845564,0.18626992781845564
macro avg,0.18035274013451078,0.1862699278184556,0.1825745324907453,19257.0
weighted avg,0.18035274013451075,0.18626992781845564,0.1825745324907453,19257.0
