,precision,recall,f1-score,support
Account Takeover,0.1477556109725686,0.0861504907306434,0.10884041331802526,2751.0
Card Cloning,0.155637707948244,0.1530352599054889,0.15432551319648094,2751.0
Friendly Fraud,0.16677524429967427,0.09305707015630679,0.11945870275314979,2751.0
Identity Theft,0.14963205233033525,0.13304252998909488,0.1408504906676929,2751.0
Legitimate,0.2350808279196253,0.5656125045438023,0.33212379935965847,2751.0
Phishing,0.15311572700296736,0.09378407851690294,0.11632100991884581,2751.0
Synthetic Identity,0.16898235073225684,0.16357688113413305,0.16623568526043592,2751.0
accuracy,0.18403697356805318,0.18403697356805318,0.18403697356805318,0.18403697356805318
macro avg,0.16813993160081023,0.18403697356805315,0.16259365921061272,19257.0
weighted avg,0.16813993160081023,0.18403697356805318,0.16259365921061272,19257.0
