,precision,recall,f1-score,support
Account Takeover,0.1527621195039459,0.0985096328607779,0.11977900552486188,2751.0
Card Cloning,0.1480605487228004,0.11377680843329699,0.12867420349434738,2751.0
Friendly Fraud,0.16887417218543047,0.1297709923664122,0.14676258992805755,2751.0
Identity Theft,0.16335303600214937,0.11050527081061433,0.13183000867302688,2751.0
Legitimate,0.24579542321477804,0.6481279534714649,0.35642178910544725,2751.0
Phishing,0.14931650893796003,0.10323518720465286,0.12207178164624972,2751.0
Synthetic Identity,0.15951742627345844,0.1297709923664122,0.14311485267588694,2751.0
accuracy,0.19052811964480448,0.19052811964480448,0.19052811964480448,0.19052811964480448
macro avg,0.16966846212007464,0.1905281196448045,0.16409346157826823,19257.0
weighted avg,0.16966846212007466,0.19052811964480448,0.1640934615782682,19257.0
