,precision,recall,f1-score,support
Account Takeover,0.14746172441579372,0.19956379498364232,0.1696014828544949,2751.0
Card Cloning,0.14980831613093482,0.1846601235914213,0.16541843047867144,2751.0
Friendly Fraud,0.1469109195402299,0.14867320974191203,0.14778681120144535,2751.0
Identity Theft,0.15108514190317196,0.13158851326790258,0.14066446473673985,2751.0
Legitimate,0.2802704363859865,0.33151581243184297,0.3037468776019983,2751.0
Phishing,0.15501839201261167,0.10723373318793167,0.12677266867211,2751.0
Synthetic Identity,0.150609080841639,0.09887313704107598,0.11937678297125302,2751.0
accuracy,0.1717297606065327,0.1717297606065327,0.1717297606065327,0.1717297606065327
macro avg,0.1687377158900525,0.1717297606065327,0.16762393121667327,19257.0
weighted avg,0.16873771589005251,0.1717297606065327,0.16762393121667327,19257.0
