,precision,recall,f1-score,support
Account Takeover,0.15011682242990654,0.09342057433660488,0.11516916872059153,2751.0
Card Cloning,0.16080156402737047,0.11959287531806616,0.13716906399833229,2751.0
Friendly Fraud,0.15792540792540793,0.0985096328607779,0.12133422878889635,2751.0
Identity Theft,0.147242206235012,0.11159578335150855,0.12696443341604632,2751.0
Legitimate,0.22885060426844947,0.6470374409305707,0.3381137809858486,2751.0
Phishing,0.16189896530736458,0.09669211195928754,0.12107419208010924,2751.0
Synthetic Identity,0.16029863855950813,0.1326790258087968,0.14518695306284804,2751.0
accuracy,0.1856467777950875,0.1856467777950875,0.1856467777950875,0.1856467777950875
macro avg,0.16673345839328846,0.1856467777950875,0.15785883157895322,19257.0
weighted avg,0.16673345839328846,0.1856467777950875,0.1578588315789532,19257.0
