,precision,recall,f1-score,support
Account Takeover,0.14675560946027896,0.08796801163213377,0.11,2751.0
Card Cloning,0.16143497757847533,0.11777535441657579,0.13619167717528374,2751.0
Friendly Fraud,0.16294508147254075,0.09814612868047982,0.12250453720508167,2751.0
Identity Theft,0.14844941535332995,0.10614322064703745,0.12378126324713862,2751.0
Legitimate,0.2268440145102781,0.6819338422391857,0.34044097631793846,2751.0
Phishing,0.16063764561618638,0.09523809523809523,0.11958010041077134,2751.0
Synthetic Identity,0.1613680154142582,0.1217739003998546,0.1388025688833644,2751.0
accuracy,0.18699693617905178,0.18699693617905178,0.18699693617905178,0.18699693617905178
macro avg,0.16691925134362112,0.1869969361790518,0.1559001604627969,19257.0
weighted avg,0.1669192513436211,0.18699693617905178,0.1559001604627969,19257.0
