,precision,recall,f1-score,support
Account Takeover,0.15473727761688044,0.13595056343147946,0.14473684210526316,2751.0
Card Cloning,0.15780946208684382,0.17702653580516176,0.16686654103135173,2751.0
Friendly Fraud,0.15470548408937035,0.16612141039621955,0.16021034180543384,2751.0
Identity Theft,0.14656290531776914,0.12322791712104689,0.1338862559241706,2751.0
Legitimate,0.28075360177318065,0.2762631770265358,0.2784902894833272,2751.0
Phishing,0.14649243466299863,0.15485278080697928,0.150556635447959,2751.0
Synthetic Identity,0.13614206128133705,0.1421301344965467,0.1390716699270852,2751.0
accuracy,0.16793893129770993,0.16793893129770993,0.16793893129770993,0.16793893129770993
macro avg,0.16817188954691145,0.16793893129770993,0.16768836796065584,19257.0
weighted avg,0.16817188954691142,0.16793893129770993,0.1676883679606558,19257.0
