,precision,recall,f1-score,support
Account Takeover,0.14362850971922247,0.1450381679389313,0.14432989690721648,2751.0
Card Cloning,0.15095702419646082,0.1519447473645947,0.15144927536231884,2751.0
Friendly Fraud,0.15327169274537697,0.15667030170846966,0.1549523638324645,2751.0
Identity Theft,0.15657698056801195,0.15230825154489278,0.15441311958724893,2751.0
Legitimate,0.35202974899287265,0.4129407488186114,0.3800602208096353,2751.0
Phishing,0.14991961414790997,0.1355870592511814,0.14239358656232107,2751.0
Synthetic Identity,0.14678899082568808,0.13376953834969102,0.1399771776340814,2751.0
accuracy,0.18403697356805318,0.18403697356805318,0.18403697356805318,0.18403697356805318
macro avg,0.17902465159936326,0.1840369735680532,0.18108223438504092,19257.0
weighted avg,0.1790246515993633,0.18403697356805318,0.18108223438504092,19257.0
