,precision,recall,f1-score,support
Account Takeover,0.1478927203065134,0.07015630679752817,0.09516765285996055,2751.0
Card Cloning,0.15739179314221471,0.10178117048346055,0.12362030905077263,2751.0
Friendly Fraud,0.1622340425531915,0.08869501999272991,0.11468860164512339,2751.0
Identity Theft,0.1467048710601719,0.09305707015630679,0.11387900355871886,2751.0
Legitimate,0.21036301582376668,0.7393675027262814,0.32753623188405795,2751.0
Phishing,0.15406767458603313,0.07778989458378771,0.10338164251207729,2751.0
Synthetic Identity,0.16184351554126475,0.10977826245001818,0.13082087935889106,2751.0
accuracy,0.18294646102715895,0.18294646102715895,0.18294646102715895,0.18294646102715895
macro avg,0.1629282332875937,0.18294646102715895,0.14415633155280025,19257.0
weighted avg,0.1629282332875937,0.18294646102715895,0.14415633155280025,19257.0
