,precision,recall,f1-score,support
Account Takeover,0.1470708725931995,0.13049800072700837,0.13828967642526965,2751.0
Card Cloning,0.15286377708978327,0.14358415121773901,0.14807872539831302,2751.0
Friendly Fraud,0.1557437407952872,0.15376226826608505,0.1547466617889153,2751.0
Identity Theft,0.15791684166316675,0.1366775717920756,0.1465315666406859,2751.0
Legitimate,0.29838326200665716,0.45619774627408216,0.3607876958459106,2751.0
Phishing,0.15122615803814715,0.12104689203925845,0.13446396123561477,2751.0
Synthetic Identity,0.15144847818115145,0.15012722646310434,0.15078495801387368,2751.0
accuracy,0.18455626525419327,0.18455626525419327,0.18455626525419327,0.18455626525419327
macro avg,0.17352187576677033,0.1845562652541933,0.17624046362122608,19257.0
weighted avg,0.17352187576677036,0.18455626525419327,0.1762404636212261,19257.0
